Date,Daily Volume
2020-01-01,5074.98864411
2020-01-02,6977.61698044
2020-01-03,4395.92381158
2020-01-04,4634.2760626
2020-01-05,9388.19244734
2020-01-06,13913.55533352
2020-01-07,12084.63299516
2020-01-08,4838.3439435
2020-01-09,8422.42715547
2020-01-10,4556.22670697
2020-01-11,3460.45546434
2020-01-12,2861.89498337
2020-01-13,20143.05620191
2020-01-14,9737.11087013
2020-01-15,5533.94065075
2020-01-16,12168.7300998
2020-01-17,4333.02444286
2020-01-18,12917.016448479999
2020-01-19,4304.174453799999
2020-01-20,3362.29608557
2020-01-21,2615.83432872
2020-01-22,6432.481177039999
2020-01-23,3610.0493168000003
2020-01-24,2262.99841083
2020-01-25,3726.1139774499998
2020-01-26,6926.45718705
2020-01-27,9649.00971573
2020-01-28,4912.708648979999
2020-01-29,10094.222193009999
2020-01-30,5011.94117505
2020-01-31,2625.87642078
2020-02-01,6623.32972584
2020-02-02,7076.131496100001
2020-02-03,4235.19074445
2020-02-04,11570.330956799999
2020-02-05,8873.172983
2020-02-06,4011.64895784
2020-02-07,5940.35016314
2020-02-08,10273.87921981
2020-02-09,8832.10992008
2020-02-10,8918.1156127
2020-02-11,9687.219686370001
2020-02-12,9685.632914819998
2020-02-13,4413.53685383
2020-02-14,6607.4194055299995
2020-02-15,7067.80882337
2020-02-16,9594.49202246
2020-02-17,8451.23362544
2020-02-18,14364.94980506
2020-02-19,6710.66672844
2020-02-20,11394.70944725
2020-02-21,2359.39148334
2020-02-22,7610.784856980001
2020-02-23,6800.726710020001
2020-02-24,8667.125738800001
2020-02-25,15344.60554664
2020-02-26,8919.57287628
2020-02-27,7717.6786997399995
2020-02-28,2880.84151134
2020-02-29,5687.54908062
2020-03-01,5485.757175430001
2020-03-02,5590.49700128
2020-03-03,4275.38028084
2020-03-04,6026.21943318
2020-03-05,3264.0958599399996
2020-03-06,4677.6415112800005
2020-03-07,26488.272488659997
2020-03-08,24327.38775083
2020-03-09,12349.90287509
2020-03-10,13892.613960550001
2020-03-11,126440.20006563001
2020-03-12,116341.35107471
2020-03-13,19397.9172004
2020-03-14,24934.71867685
2020-03-15,44458.844116119995
2020-03-16,20167.830113919998
2020-03-17,21843.68393883
2020-03-18,32567.99215545
2020-03-19,32120.25389252
2020-03-20,13281.12068285
2020-03-21,16673.29824869
2020-03-22,20151.826331289998
2020-03-23,18273.87697848
2020-03-24,14469.58990689
2020-03-25,6973.95288893
2020-03-26,11557.77495968
2020-03-27,13223.87842026
2020-03-28,11468.46933836
2020-03-29,12765.51586623
2020-03-30,5880.16738881
2020-03-31,11533.0795174
2020-04-01,21007.379311059998
2020-04-02,10208.62353163
2020-04-03,7388.61553311
2020-04-04,5930.20732303
2020-04-05,15422.04216832
2020-04-06,12650.64480251
2020-04-07,8437.15092864
2020-04-08,7859.81032103
2020-04-09,16118.80662802
2020-04-10,4121.65448167
2020-04-11,9029.07644262
2020-04-12,13022.100755219999
2020-04-13,4461.95419846
2020-04-14,6221.19494672
2020-04-15,18364.966157559997
2020-04-16,4778.06246786
2020-04-17,5344.68724829
2020-04-18,4795.64889673
2020-04-19,10303.618397580001
2020-04-20,6760.69327325
2020-04-21,5284.26889361
2020-04-22,17382.23532019
2020-04-23,9253.40140421
2020-04-24,5424.84840377
2020-04-25,5783.90200453
2020-04-26,7319.21332865
2020-04-27,6035.245398499999
2020-04-28,34857.48472509
2020-04-29,32350.59162656
2020-04-30,8165.23052616
2020-05-01,5278.564279349999
2020-05-02,10149.82891898
2020-05-03,9612.6000538
2020-05-04,7997.0656521500005
2020-05-05,9126.02485574
2020-05-06,20986.077876
2020-05-07,13042.96720955
2020-05-08,8641.70587668
2020-05-09,27916.92886746
2020-05-10,21459.051661529997
2020-05-11,5883.38282566
2020-05-12,10456.03669143
2020-05-13,13954.78063837
2020-05-14,12102.39945782
2020-05-15,4338.0419915699995
2020-05-16,10236.83152997
2020-05-17,9550.927018510001
2020-05-18,5816.49734461
2020-05-19,10534.51152303
2020-05-20,11882.114324029999
2020-05-21,4072.97068479
2020-05-22,2788.4253561
2020-05-23,7100.452644950001
2020-05-24,6211.22615632
2020-05-25,4273.86091136
2020-05-26,5908.30256406
2020-05-27,8153.621810250001
2020-05-28,4155.7977061
2020-05-29,6486.9296117799995
2020-05-30,3932.0522207199997
2020-05-31,14914.64000949
2020-06-01,24407.110113349998
2020-06-02,2857.2659891
2020-06-03,4515.6807843100005
2020-06-04,3831.18711313
2020-06-05,2104.02001693
2020-06-06,4909.31444716
2020-06-07,2552.25843058
2020-06-08,3612.8753384700003
2020-06-09,4821.158217599999
2020-06-10,16529.3436961
2020-06-11,5504.32607124
2020-06-12,1952.4459494999999
2020-06-13,3031.07410683
2020-06-14,10843.20163047
2020-06-15,3758.05266723
2020-06-16,3453.09769462
2020-06-17,1898.7951232599999
2020-06-18,2956.87521492
2020-06-19,2181.85077663
2020-06-20,1499.50537543
2020-06-21,6364.05285112
2020-06-22,3794.3633105400004
2020-06-23,6174.239288870001
2020-06-24,6256.747633200001
2020-06-25,4258.16851908
2020-06-26,3901.34264464
2020-06-27,2478.0252315
2020-06-28,3962.02864386
2020-06-29,2052.2448755200003
2020-06-30,2409.89215203
2020-07-01,4597.36327706
2020-07-02,1315.5540369300002
2020-07-03,1362.91763091
2020-07-04,2483.6432550100003
2020-07-05,4831.80381301
2020-07-06,1818.03335099
2020-07-07,4240.64429221
2020-07-08,4004.4133584700003
2020-07-09,1593.48730252
2020-07-10,915.60302216
2020-07-11,2155.55606494
2020-07-12,2253.38424578
