Date,Daily Volume
2013-03-31,5224.401312970002
2013-04-01,8376.527478110022
2013-04-02,12996.245072180118
2013-04-03,6981.668305440006
2013-04-04,5234.882203250009
2013-04-05,2009.12862494
2013-04-06,3725.0676449599982
2013-04-07,10895.82741442002
2013-04-08,6073.37314608
2013-04-09,16070.64274427014
2013-04-10,16914.656315080098
2013-04-11,38693.95530431959
2013-04-12,23866.67704559997
2013-04-13,16437.219664500037
2013-04-14,16393.128563980034
2013-04-15,26092.54322960003
2013-04-16,20016.46738673
2013-04-17,8362.10465509001
2013-04-18,20883.25110548993
2013-04-19,6502.719276970041
2013-04-20,11539.056190050029
2013-04-21,7053.397116680003
2013-04-22,11566.577971560033
2013-04-23,25884.62525414996
2013-04-24,21589.721007850003
2013-04-25,13279.17946705005
2013-04-26,7773.997322830005
2013-04-27,7222.090082880017
2013-04-28,9491.692087410023
2013-04-29,10916.45401098006
2013-04-30,23869.06259774011
2013-05-01,29911.74203578993
2013-05-02,32551.051529309825
2013-05-03,15470.54031853008
2013-05-04,13363.780708440054
2013-05-05,12263.030821200064
2013-05-06,15053.73044354
2013-05-07,8804.37823946003
2013-05-08,3991.567866890001
2013-05-09,7579.663836880023
2013-05-10,3841.937086809995
2013-05-11,2745.733407739998
2013-05-12,2590.846160009995
2013-05-13,9787.138031739994
2013-05-14,9324.260079410044
2013-05-15,4796.423981250004
2013-05-16,5107.836759599999
2013-05-17,2168.448581220001
2013-05-18,1327.4523954500005
2013-05-19,881.0578576200011
2013-05-20,1897.5483926199995
2013-05-21,2360.3498401400007
2013-05-22,4024.657330149996
2013-05-23,7965.536714460045
2013-05-24,2715.8056130399978
2013-05-25,2883.2301361299924
2013-05-26,3535.3153651699963
2013-05-27,2584.017188629992
2013-05-28,3558.616562520001
2013-05-29,4729.102657070001
2013-05-30,2267.478706539997
2013-05-31,815.1117393199993
2013-06-01,11892.971611849993
2013-06-02,4750.35164634001
2013-06-03,5195.531711939987
2013-06-04,1435.8722807399988
2013-06-05,1260.7073753199977
2013-06-06,9638.209809370004
2013-06-07,1943.2223178199813
2013-06-08,15769.872015019935
2013-06-09,9456.966566149988
2013-06-10,3419.508262049998
2013-06-11,4657.073810879999
2013-06-12,5813.817440850006
2013-06-13,5295.678983599991
2013-06-14,2397.848889410002
2013-06-15,1192.2101715700005
2013-06-16,1286.4402078700018
2013-06-17,6069.104177739991
2013-06-18,2830.346560239999
2013-06-19,5580.15645347
2013-06-20,5584.193995460012
2013-06-21,1390.418392149999
2013-06-22,796.2981047599998
2013-06-23,2801.0470020900025
2013-06-24,3395.164344160001
2013-06-25,1466.1279017399977
2013-06-26,1085.4747330400012
2013-06-27,7594.032282080028
2013-06-28,1766.1863614599931
2013-06-29,525.5426988200003
2013-06-30,10021.30520817001
2013-07-01,3732.32847998
2013-07-02,8688.24345300004
2013-07-03,7081.44839216002
2013-07-04,13816.961176109991
2013-07-05,10426.965307850023
2013-07-06,4403.968840049998
2013-07-07,8789.767706270013
2013-07-08,7041.325361009997
2013-07-09,10374.852418189985
2013-07-10,7510.966126280019
2013-07-11,15077.54108663008
2013-07-12,4116.227968849974
2013-07-13,2380.351401349994
2013-07-14,5898.457136150043
2013-07-15,2092.3585305399984
2013-07-16,2046.7274674899968
2013-07-17,7708.734832600056
2013-07-18,4794.183161720011
2013-07-19,1301.9223731900004
2013-07-20,2113.51241199
2013-07-21,1354.677930089997
2013-07-22,3368.915233929988
2013-07-23,1618.342667289999
2013-07-24,3345.3688632699877
2013-07-25,973.5339015700036
2013-07-26,1427.2840365199977
2013-07-27,3411.0675999399937
2013-07-28,2712.340327409998
2013-07-29,3558.877746249997
2013-07-30,5708.72022212001
2013-07-31,3534.33334448
2013-08-01,5444.9531715299945
2013-08-02,2406.7126631999954
2013-08-03,1011.1694001900004
2013-08-04,2944.546697899995
2013-08-05,2531.289443749999
2013-08-06,1576.176272999997
2013-08-07,4701.134780280003
2013-08-08,5799.07629595998
2013-08-09,754.8018568999998
2013-08-10,703.22305316
2013-08-11,2950.842437169995
2013-08-12,3644.091226569999
2013-08-13,7832.144424459999
2013-08-14,1749.74382402
2013-08-15,1945.8118509800004
2013-08-16,1601.9101745399996
2013-08-17,929.1472360100004
2013-08-18,7038.317063100008
2013-08-19,3887.6506390099935
2013-08-20,9461.08726163004
2013-08-21,4026.722319850001
2013-08-22,5316.114096829996
2013-08-23,2760.9506516500014
2013-08-24,5981.711802200006
2013-08-25,4105.753568659996
2013-08-26,8861.297180580006
2013-08-27,3508.1617053800014
2013-08-28,2722.033720529999
2013-08-29,9634.039483530016
2013-08-30,12537.83420063003
2013-08-31,2117.6076231399998
2013-09-01,4229.804720609976
2013-09-02,3621.713633559993
2013-09-03,9377.233332980004
2013-09-04,7294.630830979971
2013-09-05,5683.341572649988
2013-09-06,2899.8306176399947
2013-09-07,2707.400514919997
2013-09-08,8252.051216330028
2013-09-09,3626.92833386999
2013-09-10,9078.221234220027
2013-09-11,5161.999137479993
2013-09-12,2524.7711544400004
2013-09-13,3550.488280709987
2013-09-14,1973.2083203299997
2013-09-15,1710.23628094
2013-09-16,1790.2823946499996
2013-09-17,3950.891859759995
2013-09-18,3443.8726458299984
2013-09-19,3838.921053769994
2013-09-20,1023.9028820100016
2013-09-21,1078.4850535699998
2013-09-22,2465.011226290002
2013-09-23,3165.473743780001
2013-09-24,1900.35140246
2013-09-25,1002.2244638199998
2013-09-26,2578.6923297000017
2013-09-27,2488.4647703900023
2013-09-28,3011.1375808699963
2013-09-29,3072.55201951
2013-09-30,2151.64918807
